error_code,feature,error_description,error_cause,error_response,error_url
ALERT-DELCFGDOMAINS,ALERT,"Can not delete alerting config while CPF domains are associated. Use alert:config-set-cpf-domain-names($config; ()) first.: variable1",Attempted to delete an alerting configuration that has CPF domains associated with it.,"Use alert:config-set-cpf-domain-names($config; ()) to remove any CPF domain associations before deleting the config.",https://docs.marklogic.com/messages/ALERT-en/ALERT-DELCFGDOMAINS
ALERT-DELCFGTRIGGERS,ALERT,"Can not delete alerting config while triggers are associated. Use alert:config-set-trigger-ids($uri; ()) or alert:remove-triggers($uri) first.: variable1",Attempted to delete an alerting configuration that has trigger ids associated with it.,"If the triggers were created with alert:create-triggers($uri) then they should be removed with alert:remove-triggers($uri) before deleting the config. If the triggers were created in some other way; the config should be disassociated from them withbefore deleting the config.",https://docs.marklogic.com/messages/ALERT-en/ALERT-DELCFGTRIGGERS
ALERT-DUPLICATECONFIGID,ALERT,Configuration appears twice: variable1,,Configuration id must be unique.,https://docs.marklogic.com/messages/ALERT-en/ALERT-DUPLICATECONFIGID
ALERT-EXISTCONFIG,ALERT,Attempting to overwrite existing configuration: variable1,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-EXISTCONFIG
ALERT-INVALIDACTION,ALERT,The action is not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDACTION
ALERT-INVALIDCONFIG,ALERT,The configuration is not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDCONFIG
ALERT-INVALIDINVOKEOPTIONS,ALERT,The options for invoke are not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDINVOKEOPTIONS
ALERT-INVALIDOPTIONS,ALERT,The options are not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDOPTIONS
ALERT-INVALIDRULE,ALERT,The rule is not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDRULE
ALERT-INVALIDRULEACTION,ALERT,The action for this rule is not valid: variable1,Invalid action for this rule.,Check action for this rule and try again.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDRULEACTION
ALERT-INVALIDSPAWNOPTIONS,ALERT,The options for spawn are not valid,,Check your code.,https://docs.marklogic.com/messages/ALERT-en/ALERT-INVALIDSPAWNOPTIONS
ALERT-NORULE,ALERT,Rule does not exist: variable1,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-NORULE
ALERT-NOSUCHCONFIG,ALERT,Requesting nonexistent configuration: variable1,Configuration does not exist.,Check configuration id for misspelling and that it was created and try again.,https://docs.marklogic.com/messages/ALERT-en/ALERT-NOSUCHCONFIG
ALERT-NOTRIGGERDB,ALERT,No triggers database is configured for the alerting database: no triggers database configured,No triggers database is configured for the alerting database.,Configure a triggers database for the alerting database.,https://docs.marklogic.com/messages/ALERT-en/ALERT-NOTRIGGERDB
ALERT-RLEXISTS,ALERT,Rule already exists: variable1,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-RLEXISTS
ALERT-RULEPERMISSION,ALERT,User does not have permission to insert rule: variable1,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-RULEPERMISSION
ALERT-UNREMOVABLEACTION,ALERT,Can not remove this action: variable1,,,https://docs.marklogic.com/messages/ALERT-en/ALERT-UNREMOVABLEACTION
CPF-ACTIONEMPTY,CPF,Execute action required,An execute element in a CPF pipeline was missing an action element. The action element is required.,Add the missing action element.,https://docs.marklogic.com/messages/CPF-en/CPF-ACTIONEMPTY
CPF-ACTIONNOTFOUND,CPF,Action not found: variable1,The module path in an action was empty. The module path needs to be the path of an XQuery module or XSLT stylesheet.,Supply the missing module path in the action.,https://docs.marklogic.com/messages/CPF-en/CPF-ACTIONNOTFOUND
CPF-CONDITIONEMPTY,CPF,Execute condition required,An execute element in a CPF pipeline was missing a condition element. The condition element is required.,"Add the missing condition element. If you want an unconditioned action; consider using the default-action instead.",https://docs.marklogic.com/messages/CPF-en/CPF-CONDITIONEMPTY
CPF-CONFIGEXISTS,CPF,Processing configuration already exists,"dom:configuration-create was called to create a CPF configuration in the triggers database; but a configuration already exists there. There can be only one such configuration per triggers database. It may be that the triggers database is shared across multiple databases; and this initialization was already done.",Do not call dom:configuration-create multiple times for the same triggers database.,https://docs.marklogic.com/messages/CPF-en/CPF-CONFIGEXISTS
CPF-CONFIGIDEMPTY,CPF,Processing configuration id required,A CPF configuration was missing a unique ID.,"This should never happen. If it does; report the bug.",https://docs.marklogic.com/messages/CPF-en/CPF-CONFIGIDEMPTY
CPF-CONFIGNOTFOUND,CPF,Processing configuration not found,dom:configuration-get could not find the CPF configuration.,Make sure you are executing this function in the correct triggers database and that CPF has been installed.,https://docs.marklogic.com/messages/CPF-en/CPF-CONFIGNOTFOUND
CPF-DATABASEEMPTY,CPF,Database required in execution context,The database in the execution context of a domain specification is missing.,Fix the domain specification.,https://docs.marklogic.com/messages/CPF-en/CPF-DATABASEEMPTY
CPF-DATABASEINVALID,CPF,Invalid database in execution context: variable1,The database id in the evaluation context of a domain specification does not match the id of any database.,Provide a valid database ID in the evaluation context of the domain specification.,https://docs.marklogic.com/messages/CPF-en/CPF-DATABASEINVALID
CPF-DEPTHEMPTY,CPF,Depth required for directory domain scope,A directory scope on a domain specification lacks a depth element.,Add a depth element to the scope specification.,https://docs.marklogic.com/messages/CPF-en/CPF-DEPTHEMPTY
CPF-DEPTHINVALID,CPF,Invalid depth in directory domain scope: variable1,"The depth element in the directory scope specification of a domain specification must be either ""0""; ""1""; or ""infinity"" but it is something else.",Fix the depth specification.,https://docs.marklogic.com/messages/CPF-en/CPF-DEPTHINVALID
CPF-DOCSCOPEEMPTY,CPF,Document scope required in domain scope,"A domain specification has an empty document-scope element. The document-scope must be present and must be ""document""; ""directory""; or ""collection"".",Fix the broken document-scope element.,https://docs.marklogic.com/messages/CPF-en/CPF-DOCSCOPEEMPTY
CPF-DOMAINEMPTY,CPF,Default domain required,A CPF configuration specification is missing the default-domain element.,Add the missing default-domain element.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAINEMPTY
CPF-DOMAINEXISTS,CPF,Domain already exists: variable1,The CPF domain name specified already exists in the database.,Choose a different name for the domain and try again.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAINEXISTS
CPF-DOMAINIDEMPTY,CPF,Domain id required,A CPF domain specification is missing an domain-id element.,This should not happen.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAINIDEMPTY
CPF-DOMAININVALID,CPF,Invalid domain in configuration: variable1,The CPF configuration specifies a default domain that does not exist.,Use a valid domain for the default-domain in the CPF configuration.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAININVALID
CPF-DOMAINNAMEEMPTY,CPF,Domain name required,A domain specification is missing the domain-name element.,Add the missing domain-name element.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAINNAMEEMPTY
CPF-DOMAINNOTFOUND,CPF,Processing domain not found: variable1,A CPF domain with the given name or ID was not found.,Make sure that the domain name or ID is correct and that the lookup is being executed against the correct triggers database.,https://docs.marklogic.com/messages/CPF-en/CPF-DOMAINNOTFOUND
CPF-LINKINVALID,CPF,Link is invalid: variable1,An attempt was made to add a CPF link that had invalid attributes on it to a document.,"Ensure that the from; to; rel; rev; and strength attributes have values allowed by the schema for links. Ensure that thefrom and to attributes are not the same.",https://docs.marklogic.com/messages/CPF-en/CPF-LINKINVALID
CPF-LINKNOTFOUND,CPF,Link not found from variable1 to variable2,The CPF link function remove was called to remove a link that did not exist.,"Modify your application to either avoid calling remove on links that do not exist; or to handle the error situation.",https://docs.marklogic.com/messages/CPF-en/CPF-LINKNOTFOUND
CPF-MODULEEMPTY,CPF,Module required: variable1,A CPF action specification was missing the module element.,Add the missing module element. An action must specify a valid module path.,https://docs.marklogic.com/messages/CPF-en/CPF-MODULEEMPTY
CPF-NODEPTH,CPF,Depth should not be specified in non-directory domain scope,"A non-directory domain scope specification includes a depth element; which should not happen.",Remove the depth element.,https://docs.marklogic.com/messages/CPF-en/CPF-NODEPTH
CPF-PIPELINEACTIONEMPTY,CPF,Pipeline action required: variable1,A pipeline was missing the global success-action or failure-action.,Add the missing elements to the pipeline.,https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINEACTIONEMPTY
CPF-PIPELINEEXISTS,CPF,Pipeline already exists: variable1,An attempt was made to create a pipeline that has the same name as an already loaded pipeline. Pipeline names must be unique.,"Give the new pipeline a new name; remove the existing pipeline; or use the pipeline insert function rather than the pipeline create function.",https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINEEXISTS
CPF-PIPELINEIDEMPTY,CPF,Pipeline id required,An attempt was made to insert a pipeline that had no pipeline-id element.,This should not happen.,https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINEIDEMPTY
CPF-PIPELINEINVALID,CPF,Pipeline is invalid: variable1,An attempt was made to insert a pipeline specification that is not valid per the pipeline schema.,Ensure the pipeline specification is valid per the pipeline schema.,https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINEINVALID
CPF-PIPELINENAMEEMPTY,CPF,Pipeline name required,An attempt was made to insert a pipeline specification that did not have a pipeline name. The name is required.,Make sure the pipeline specification has a name.,https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINENAMEEMPTY
CPF-PIPELINENOTFOUND,CPF,Processing pipeline not found: variable1,A pipeline specification with the given name or unique ID could not be found.,Make sure that the lookup function is executed against the correct triggers database and that the name or ID is correct.,https://docs.marklogic.com/messages/CPF-en/CPF-PIPELINENOTFOUND
CPF-ROOTEMPTY,CPF,Root required in execution context,The evaluation context of a CPF domain has an empty evaluation root specification. The root is required and must be a non-empty path.,Correct the evaluation context specification by adding a root specification.,https://docs.marklogic.com/messages/CPF-en/CPF-ROOTEMPTY
CPF-SCOPEINVALID,CPF,Document scope in domain scope is invalid: variable1,"A domain document-scope specification is not valid. It must be ""document""; ""directory""; or ""collection"".",Fix the domain specification.,https://docs.marklogic.com/messages/CPF-en/CPF-SCOPEINVALID
CPF-SCOPEURIEMPTY,CPF,URI required in domain scope,A domain scope specification has an empty uri element. The uri element is required and must be non-empty.,Provide a non-empty uri element.,https://docs.marklogic.com/messages/CPF-en/CPF-SCOPEURIEMPTY
CPF-STATEEMPTY,CPF,Transition state required,A pipeline has a state transition specification with no state element. The state element is required.,Fix the pipeline specification.,https://docs.marklogic.com/messages/CPF-en/CPF-STATEEMPTY
CPF-STATETRANSITIONDUP,CPF,State transition already defined: variable1,A pipeline has more than one state transition for the same state.,"Combine the execute blocks for the multiple state transitions into a single state transition; or move one of the state transitions to a different pipeline. Add a priority to one of the state transitions if necessary.",https://docs.marklogic.com/messages/CPF-en/CPF-STATETRANSITIONDUP
CPF-STATUSEMPTY,CPF,Transition status required,A pipeline has a status transition specification that lacks a status element. The status element is required.,Add the status element to the status transition.,https://docs.marklogic.com/messages/CPF-en/CPF-STATUSEMPTY
CPF-STATUSINVALID,CPF,Processing status is invalid: variable1,"An attempt was made to set the processing status to an invalid value. The value must be one of those defined in the schema: ""active""; ""done""; ""created""; ""deleted""; ""updated""; or ""property-updated"".",Provide a valid processing status.,https://docs.marklogic.com/messages/CPF-en/CPF-STATUSINVALID
CPF-STATUSTRANSITIONDUP,CPF,Status transition already defined: variable1,A pipeline has more than one status transition for the same status.,"Combine the execute blocks for the multiple status transitions into a single status transition; or move one of the status transitions to a different pipeline. Add a priority to one of the status transitions if necessary.",https://docs.marklogic.com/messages/CPF-en/CPF-STATUSTRANSITIONDUP
CPF-TRIGGERDBREQ,CPF,A triggers database is required to install CPF for database: variable1,An attempt was made to install CPF on a database that has no triggers database configured. CPF requires a triggers database in order to function.,Define a triggers database for the database you want to install CPF on.,https://docs.marklogic.com/messages/CPF-en/CPF-TRIGGERDBREQ
CPF-TRIGGEREMPTY,CPF,Domain trigger required: variable1,Something went wrong in creating a domain and one or more of the triggers that should have been created are missing.,This should never happen.,https://docs.marklogic.com/messages/CPF-en/CPF-TRIGGEREMPTY
CPF-USEREMPTY,CPF,Processing user required,A CPF configuration was created with no restart-user specified.,This should never happen.,https://docs.marklogic.com/messages/CPF-en/CPF-USEREMPTY
DBG-ATTACHED,DBG,Request already attached: variable1,An attempt was made to attach a request which had already been attached.,Retry the operation after the request has been detached.,https://docs.marklogic.com/messages/DBG-en/DBG-ATTACHED
